"","x"
"1528",133.7961
"1529",138.9721
"1530",156.8838
"1531",169.416
"1532",168.1924
"1533",164.5458
"1534",179.2454
"1535",235.9159
"1536",312.6059
"1537",303.3528
"1538",233.9121
"1539",245.6571
"1540",252.05
"1541",244.2875
"1542",232.7608
"1543",211.9297
"1544",313.9551
"1545",396.665
"1546",427.3437
"1547",388.8975
"1548",322.7479
"1549",251.6243
"1550",175.0213
"1551",69.1121
"1552",50.3734
"1553",38.2486
"1554",33.7191
"1555",17.2543
"1556",8.8812
"1557",8.3497
"1558",5.4808
"1559",2.7036
"1560",1.5112
"1561",0
"1562",0
"1563",0
"1564",0
"1565",0
"1566",0
"1567",0
"1568",0
"1569",0
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",0
"1579",0
"1580",0
"1581",0
"1582",0
"1583",0
"1584",0
"1585",0
"1586",0
"1587",0
"1588",0
"1589",0
"1590",0
"1591",0
"1592",0
"1593",0
"1594",0
"1595",0
"1596",0
"1597",0
"1598",0
"1599",0
"1600",0
"1601",0
"1602",0
"1603",0
"1604",0
"1605",0
"1606",0
"1607",0
"1608",0
"1609",0
"1610",0
"1611",0
"1612",0
"1613",0
"1614",0
"1615",0
"1616",0
"1617",0
"1618",0
"1619",0
"1620",0
"1621",0
"1622",0
"1623",0
"1624",0
"1625",0
"1626",0
"1627",0
"1628",0.1494
"1629",0.545
"1630",0.1567
"1631",3.358
"1632",10.8997
"1633",13.6314
"1634",7.313
"1635",7.5213
"1636",21.2633
"1637",35.5825
"1638",40.9289
"1639",47.9218
"1640",46.5999
"1641",44.4583
"1642",63.0926
"1643",72.3671
"1644",143.114
"1645",315.3962
"1646",262.446
"1647",256.1085
"1648",241.7643
"1649",254.6039
"1650",217.1778
"1651",218.4997
"1652",279.1642
"1653",306.7319
"1654",223.3537
"1655",196.1833
"1656",192.4171
"1657",188.6196
"1658",184.1125
"1659",210.1297
"1660",315.4305
"1661",389.8404
"1662",331.5524
"1663",277.7099
"1664",284.0174
"1665",343.521
"1666",309.9684
"1667",284.0199
"1668",351.5075
"1669",277.8259
"1670",209.9217
"1671",198.5562
"1672",215.4804
"1673",185.9931
"1674",159.3436
"1675",180.9963
"1676",164.8131
"1677",226.3076
"1678",306.6682
"1679",332.1498
"1680",266.7581
"1681",293.7751
"1682",331.8624
"1683",322.5786
"1684",236.0142
"1685",168.0813
"1686",157.8809
"1687",152.5475
"1688",216.6729
"1689",197.9351
"1690",144.0647
"1691",95.0873
"1692",58.7488
"1693",37.539
"1694",23.2256
"1695",24.8714
"1696",31.9822
"1697",23.665
"1698",11.4361
"1699",7.0858
"1700",6.5367
"1701",3.7825
"1702",2.0076
"1703",1.9113
"1704",0.2856
"1705",0
"1706",0
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",0
"1726",0
"1727",0
"1728",0
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",0
"1738",0
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",0
"1745",0
"1746",0
"1747",0
"1748",0
"1749",0
"1750",0
"1751",0
"1752",0
"1753",0
"1754",0
"1755",0
"1756",0
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0
"1766",0
"1767",0
"1768",0
"1769",0
"1770",0
"1771",1.2784
"1772",7.292
"1773",15.7296
"1774",22.2539
"1775",28.5695
"1776",32.2325
"1777",39.3283
"1778",50.8501
"1779",64.3767
"1780",79.2015
"1781",82.4124
"1782",101.1595
"1783",127.3531
"1784",159.0142
"1785",196.5052
"1786",221.1589
"1787",210.2586
"1788",233.1492
"1789",258.3585
"1790",292.9807
"1791",371.9788
"1792",531.8692
"1793",449.4281
"1794",316.1544
"1795",287.7553
"1796",410.9256
"1797",403.5444
"1798",409.2198
"1799",392.2789
"1800",396.457
"1801",394.7387
"1802",692.9833
"1803",841.4712
"1804",821.5868
"1805",800.7385
"1806",800.0662
"1807",786.6868
"1808",785.2981
"1809",782.1378
"1810",780.8054
"1811",784.5522
"1812",789.1038
"1813",786.2079
"1814",777.1366
"1815",772.3403
